oyuncu_yas,oyuncu_gunluk_sure,oyuncu_harcama_butcesi,oyuncu_maglubiyet_tepkisi,oyuncu_uyku_feragati,oyuncu_ruh_hali,oyuncu_pegi_dikkat,oyuncu_platform_kisitlama_gorus,oyuncu_haftalik_oyun_gunu,oyuncu_ebeveyn_onay_gorus,oyuncu_cinsiyet_Erkek,oyuncu_cinsiyet_Kadın,oyuncu_harcama_etkisi_limit_asar_sarsmaz,oyuncu_harcama_etkisi_butce_zorlar,oyuncu_harcama_etkisi_hic_harcamaz,oyuncu_harcama_etkisi_pisman_gizler,oyuncu_stres_etkisi_notr,oyuncu_stres_etkisi_rahatlatir,oyuncu_stres_etkisi_oynamazsa_gergin,oyuncu_stres_etkisi_tam_rahatlatir,oyuncu_stres_etkisi_rekabet_stresi,oyuncu_harcama_amaci_yapmaz,oyuncu_harcama_amaci_hizli_ilerleme_guc,oyuncu_harcama_amaci_dogrudan_esya,oyuncu_harcama_amaci_sansa_dayali_kutu,oyuncu_motivasyon_kacis,oyuncu_motivasyon_rekabet,oyuncu_motivasyon_eglence,oyuncu_motivasyon_sosyallesme,oyuncu_oyun_turu_basit_eglence,oyuncu_oyun_turu_hayatta_kalma,oyuncu_oyun_turu_hikaye_rpg,oyuncu_oyun_turu_rekabetci_nisanci,oyuncu_oyun_turu_spor_yaris,oyuncu_oyun_turu_strateji_moba,oyuncu_cihaz_pc,oyuncu_cihaz_mobil,oyuncu_cihaz_konsol
2,1,0,1,0,0,0,0,4,Kesinlikle destekliyorum,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
0,1,1,3,1,1,2,3,3,Kesinlikle destekliyorum,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0
0,1,1,0,0,0,0,0,0,Kesinlikle destekliyorum,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
1,1,1,0,1,0,1,4,1,Destekliyorum,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
0,1,0,2,0,1,3,4,1,Kesinlikle destekliyorum,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
0,0,0,1,0,0,3,2,0,Kesinlikle destekliyorum,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
0,1,1,2,2,1,2,2,3,Kesinlikle destekliyorum,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
0,0,0,0,1,0,0,0,1,Kesinlikle destekliyorum,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
0,1,0,0,2,1,2,2,3,Kesinlikle destekliyorum,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
0,1,2,0,1,1,2,2,2,Kararsızım,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
1,2,0,0,1,2,2,3,1,Kararsızım,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
0,2,0,1,3,2,2,3,4,Destekliyorum,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
0,1,0,0,1,0,0,4,2,Kararsızım,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
2,2,2,0,3,0,2,4,4,Kesinlikle destekliyorum,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
0,3,0,2,0,1,0,2,4,Kararsızım,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
0,1,0,0,0,0,0,0,2,Kesinlikle destekliyorum,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
0,1,0,2,0,0,2,0,1,Kesinlikle destekliyorum,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
0,0,0,2,0,0,3,2,1,Kesinlikle destekliyorum,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
1,2,3,3,0,1,2,4,3,Destekliyorum,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0
0,2,0,1,1,1,2,3,4,Kararsızım,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
0,2,2,2,3,1,1,4,4,Kesinlikle desteklemiyorum,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
0,0,0,1,0,0,0,2,1,Kararsızım,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
1,1,1,3,0,0,0,4,4,Kesinlikle destekliyorum,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
0,1,3,3,2,1,2,4,3,Kesinlikle desteklemiyorum,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0,2,2,1,1,0,2,4,4,Kararsızım,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
1,1,1,1,2,1,0,1,3,Kesinlikle destekliyorum,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
0,1,1,0,0,1,2,4,2,Destekliyorum,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
1,0,0,0,0,0,3,2,0,Kesinlikle destekliyorum,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
0,1,0,2,0,0,0,0,1,Kesinlikle destekliyorum,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
0,1,0,0,1,0,1,0,3,Kesinlikle destekliyorum,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
0,0,0,0,0,0,1,3,1,Destekliyorum,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
0,2,0,3,1,0,0,4,2,Kesinlikle destekliyorum,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
1,0,0,2,0,0,0,0,1,Kesinlikle destekliyorum,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
