oyun_adi,oyun_turu,gelistirici,puan,turkce_destegi,fiyat,yas,dil,ingilizce_destegi,dil_sayisi,platform
EA SPORTS FC™ 26,"Futbol, Spor, Simülasyon, Çok Oyunculu, Tek Oyunculu, Kontrolcü, Rekabetçi, Yerel Eşli Oyun, Gerçekçi, Çevrimiçi Eşli Oyun, PvP, Aile Dostu, Yerel Çok Oyunculu, E-spor, Modern, Anime, Karakter Kişiselleştirme, Birinci Şahıs, Steam Machine, Yarış","EA Canada, EA Romania",47.0,1,0.99,3,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Arapça, Felemenkçe, Japonca, Korece, Lehçe, BrezilyaPortekizcesi, BasitleştirilmişÇince, LatinAmerikaİspanyolcası, Çekçe, Danca, Norveççe, Portekizce-Portekiz, Rusça, İsveççe, GelenekselÇince",1,20.0,Steam
Cities: Skylines,"Şehir Kurma, Simülasyon, İnşa Etme, Yönetim, Strateji, Sandbox, Tek Oyunculu, Ekonomi, Modlanabilir, Kaynak Yönetimi, Mod, Gerçekçi, Tekrar Oynanabilir, Basit Eğlence, Modern, Durdurulabilir Gerçek Zamanlı, Aile Dostu, Harika Müzik, Komik, Aksiyon",Colossal Order,87.0,0,20.99,3,"Türkçe, İngilizce, Fransızca, Almanca, Kastilyaİspanyolcası, Lehçe, BrezilyaPortekizcesi, Rusça, BasitleştirilmişÇince, Korece, Japonca",1,10.0,Steam
Grand Theft Auto V Enhanced,"Açık Dünya, Aksiyon, Cinsel İçerik, Çok Oyunculu, Suç, Yetişkinler İçin, Nişancı, Üçüncü Şahıs, Birinci Şahıs, Macera, Otomobil Simülasyonu, Yarış, TPS, Sandbox, Komik, Atmosferik, Modlanabilir, Komedi, PvP, Eşli",Rockstar North,89.0,0,29.99,18,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Japonca, Korece, Lehçe, BrezilyaPortekizcesi, Rusça, BasitleştirilmişÇince, LatinAmerikaİspanyolcası, GelenekselÇince",1,13.0,Steam
Black Desert,"Sandbox, Keşif, Aksiyon RYO, Devasa Çok Oyunculu RYO, Savaş, Üretim, Orta Çağ, PvP, Birinci Şahıs, Aksiyon Macera, Karakter Kişiselleştirme, Açık Dünya, RYO, Strateji, 3D, Aşçılık, Fantezi, Aksiyon, Sihir, Sinematik",Pearl Abyss,65.0,1,4.99,16,"Türkçe, İngilizce, Fransızca, Almanca, Kastilyaİspanyolcası, Japonca, Rusça, Tayca, GelenekselÇince, BrezilyaPortekizcesi, LatinAmerikaİspanyolcası",1,10.0,Steam
R.E.P.O.,"Korku, Çevrimiçi Eşli Oyun, Çok Oyunculu, Komedi, Eşli, Fizik Tabanlı, Birinci Şahıs, 3D, Gizlilik, Hayatta Kalma, Robotlar, Aksiyon, Keşif, Komik, Prosedürel Oluşturma, Aksiyon Roguelike, Kıyamet Sonrası, Bilim Kurgu, Kalıcı Ölüm, Erken Erişim",semiwork,95.0,0,3.49,0,"Türkçe, İngilizce",1,1.0,Steam
NBA 2K26,"Kumar, Spor, Basketbol, Simülasyon, E-spor, 3D, Çok Oyunculu, Kontrolcü, Tek Oyunculu, Karakter Kişiselleştirme, PvP, Yönetim, Takım Tabanlı, Çevrimiçi Eşli Oyun, Yerel Çok Oyunculu, Takas, LGBTİ+, Eşli, Hentai, Cinsel İçerik",Visual Concepts,75.0,0,69.99,3,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Japonca, Korece, BasitleştirilmişÇince, GelenekselÇince",1,9.0,Steam
Tom Clancy’s The Division® 2,"Looter Shooter, Açık Dünya, Çok Oyunculu, TPS, Tek Oyunculu, Çevrimiçi Eşli Oyun, Nişancı, Aksiyon, Macera, RYO, Eşli, Kıyamet Sonrası, Ganimet, Karakter Kişiselleştirme, PvE, Hayatta Kalma, Devasa Çok Oyunculu, Askerî, PvP, Zengin Hikâye",Ubisoft,82.0,0,23.99,18,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Arapça, Japonca, Korece, Lehçe, BrezilyaPortekizcesi, Rusça, BasitleştirilmişÇince, LatinAmerikaİspanyolcası, GelenekselÇince",1,14.0,Steam
Red Dead Redemption,"Açık Dünya, Vahşi Batı, Zengin Hikâye, Tek Oyunculu, Aksiyon, Zombi, Aksiyon Macera, TPS, Atmosferik, Macera, Harika Müzik, Nişancı, 3D, Üçüncü Şahıs, Cinsel İçerik, Klasik, Anlatı, Vahşet, Kan, Çıplaklık","Rockstar Games, Double Eleven",93.0,0,,18,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Korece, Rusça, BasitleştirilmişÇince, LatinAmerikaİspanyolcası, GelenekselÇince, Japonca, Lehçe, BrezilyaPortekizcesi",1,13.0,Steam
The Crew Motorfest,"Yarış, Açık Dünya, Çok Oyunculu, Araç Kullanma, Arcade, Sandbox, Tek Oyunculu, PvP, Çevrimiçi Eşli Oyun, Spor, Eşli, 3D, Otomobil Simülasyonu, Motosiklet, Simülasyon, Kontrolcü, Aile Dostu, Devasa Çok Oyunculu",Ubisoft Ivory Tower,70.0,0,55.99,0,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Arapça, BasitleştirilmişÇince, GelenekselÇince, Korece, Japonca, Lehçe, BrezilyaPortekizcesi, Rusça",1,13.0,Steam
Valheim,"Açık Dünya Hayatta Kalma İnşa, Hayatta Kalma, Çevrimiçi Eşli Oyun, Açık Dünya, Çok Oyunculu, İnşa Etme, Üretim, Üs İnşa Etme, Keşif, Eşli, Macera, Zor, Mitoloji, Sandbox, Üçüncü Şahıs, PvE, Tek Oyunculu, Aksiyon, Erken Erişim, Bağımsız",Iron Gate AB,87.0,1,2.74,0,"Türkçe, İngilizce, Fransızca, Almanca, Kastilyaİspanyolcası, Rusça, BasitleştirilmişÇince, Japonca, BrezilyaPortekizcesi, Lehçe, Ukraynaca, İtalyanca, Korece, GelenekselÇince",1,13.0,Steam
