veli_cinsiyet,veli_yas,cocuk_cinsiyet,cocuk_yas,cocuk_cihaz,veli_ebeveyn_denetimi,cocuk_oyun_turu,cocuk_gunluk_sure,veli_izin_verilen_harcama,veli_harcama_guven_etkisi,cocuk_kapatma_tepkisi,cocuk_stres_gozlemi,cocuk_uyku_gozlemi,cocuk_ruh_hali_gozlemi,veli_pegi_kontrol,veli_platform_kisitlama_gorus,cocuk_haftalik_oyun_gunu,veli_ebeveyn_onay_gorus,ebeveyn_ilgi_skoru_100
Kadın,18-22,Kız,10-13,"Mobil Cihaz (Akıllı Telefon, Tablet)","Evet, teknik ayarları (filtre, süre sınırı) aktif olarak kullanıyorum.","Basit Eğlence / Bulmaca (Candy Crush, Kelime Oyunları, Subway Surfers vb.)",1 saatten az,Hiç harcama yapmaz,Hiç harcamaz veya sadece izin verdiğimiz kadar harcar.,"""Birazdan"", ""Son bir el"" diyerek süreyi esnetmeye çalışır ama kapatır.","Tamamen rahatlar, neşeli ve stressiz olur.",Hiçbir zaman,Hemen normal hayatına döner.,Evet her zaman,Kararsızım,Neredeyse her gün / Her gün,Kesinlikle destekliyorum,87.5
Kadın,36-45,Erkek,14-17,"Mobil Cihaz (Akıllı Telefon, Tablet)",Bu tür ayarların nasıl yapıldığını bilmiyorum.,"Hayatta Kalma, İnşa Etme & Sandbox (Minecraft, The FOREST, Rust, Subnautica vb.)",3-5 saat,250 TL'den az,Bazen limitini aşar ama bütçemizi sarsmaz.,"""Birazdan"", ""Son bir el"" diyerek süreyi esnetmeye çalışır ama kapatır.",Oynamadığı zamanlarda canı çabuk sıkılır veya gergin/huzursuz olur,Sıklıkla (Haftada birkaç kez),O günkü genel morali düşer.,Hayır kontrol etmiyorum,Destekliyorum,Sıklıkla (Haftada 3-4 kez),Kesinlikle destekliyorum,53.75
Kadın,29-35,Kız,10-13,"Mobil Cihaz (Akıllı Telefon, Tablet)","Evet, teknik ayarları (filtre, süre sınırı) aktif olarak kullanıyorum.","Basit Eğlence / Bulmaca (Candy Crush, Kelime Oyunları, Subway Surfers vb.)",1-3 saat,250 TL'den az,Hiç harcamaz veya sadece izin verdiğimiz kadar harcar.,"""Birazdan"", ""Son bir el"" diyerek süreyi esnetmeye çalışır ama kapatır.",Oynamadığı zamanlarda canı çabuk sıkılır veya gergin/huzursuz olur,Nadiren (Ayda 1-2 kez),"Sadece anlık olarak canı sıkılır, çabuk geçer.",Bazen,Destekliyorum,Nadiren (Ayda 1-2 kez),Kesinlikle destekliyorum,83.75
Kadın,36-45,Kız,14-17,"Mobil Cihaz (Akıllı Telefon, Tablet)",Nasıl yapılacağını biliyorum ama uygulamıyorum.,"Hayatta Kalma, İnşa Etme & Sandbox (Minecraft, The FOREST, Rust, Subnautica vb.)",1 saatten az,Hiç harcama yapmaz,Hiç harcamaz veya sadece izin verdiğimiz kadar harcar.,Söylendiği an sorunsuz kapatır.,Nötr (Oynaması veya oynamaması genel ruh halini pek değiştirmez),Hiçbir zaman,Hemen normal hayatına döner.,Hayır kontrol etmiyorum,Destekliyorum,Sıklıkla (Haftada 3-4 kez),Destekliyorum,55.0
Kadın,36-45,Erkek,14-17,"Mobil Cihaz (Akıllı Telefon, Tablet)",Nasıl yapılacağını biliyorum ama uygulamıyorum.,"Hikaye Odaklı & Rol Yapma - RPG (The Witcher, Cyberpunk, Genshin Impact, Elden Ring, Red Dead Redemption 2 vb.)",1-3 saat,Hiç harcama yapmaz,Hiç harcamaz veya sadece izin verdiğimiz kadar harcar.,Söylendiği an sorunsuz kapatır.,Nötr (Oynaması veya oynamaması genel ruh halini pek değiştirmez),Hiçbir zaman,Hemen normal hayatına döner.,Bazen,Kesinlikle destekliyorum,Bazen (Haftada 1-2 kez),Kesinlikle destekliyorum,77.5
Kadın,36-45,Kız,14-17,"Kişisel Bilgisayar (Masaüstü, Laptop - Steam, Epic Games vb.)",Bu tür ayarların nasıl yapıldığını bilmiyorum.,Bilmiyorum,3-5 saat,Hiç harcama yapmaz,Hiç harcamaz veya sadece izin verdiğimiz kadar harcar.,Söylenerek/itiraz ederek isteksizce kapatır.,"Tamamen rahatlar, neşeli ve stressiz olur.",Hiçbir zaman,Hemen normal hayatına döner.,Bazen,Kesinlikle destekliyorum,Sıklıkla (Haftada 3-4 kez),Kesinlikle destekliyorum,70.0
Kadın,36-45,Erkek,14-17,"Mobil Cihaz (Akıllı Telefon, Tablet)","Evet, teknik ayarları (filtre, süre sınırı) aktif olarak kullanıyorum.","Rekabetçi Nişancı & Battle Royale (Valorant, CS2, PUBG Mobile, Apex Legends vb.)",1-3 saat,Hiç harcama yapmaz,Hiç harcamaz veya sadece izin verdiğimiz kadar harcar.,Söylendiği an sorunsuz kapatır.,"Tamamen rahatlar, neşeli ve stressiz olur.",Hiçbir zaman,Hemen normal hayatına döner.,Evet her zaman,Kesinlikle destekliyorum,Neredeyse her gün / Her gün,Kesinlikle destekliyorum,100.0
Kadın,36-45,Erkek,14-17,"Mobil Cihaz (Akıllı Telefon, Tablet)",Nasıl yapılacağını biliyorum ama uygulamıyorum.,"Hayatta Kalma, İnşa Etme & Sandbox (Minecraft, The FOREST, Rust, Subnautica vb.)",1-3 saat,Hiç harcama yapmaz,Hiç harcamaz veya sadece izin verdiğimiz kadar harcar.,"""Birazdan"", ""Son bir el"" diyerek süreyi esnetmeye çalışır ama kapatır.",Oyun esnasında kendini kaptırıp zaman zaman gerilebiliyor,Hiçbir zaman,Hemen normal hayatına döner.,Bazen,Kesinlikle destekliyorum,Neredeyse her gün / Her gün,Kesinlikle destekliyorum,77.5
Kadın,29-35,Kız,6-9,"Mobil Cihaz (Akıllı Telefon, Tablet)",Cihazlarda böyle özelliklerin olduğundan haberdar değilim.,Bilmiyorum,1 saatten az,Hiç harcama yapmaz,Hiç harcamaz veya sadece izin verdiğimiz kadar harcar.,"""Birazdan"", ""Son bir el"" diyerek süreyi esnetmeye çalışır ama kapatır.",Nötr (Oynaması veya oynamaması genel ruh halini pek değiştirmez),Hiçbir zaman,"Sadece anlık olarak canı sıkılır, çabuk geçer.",Evet her zaman,Kesinlikle destekliyorum,Neredeyse her gün / Her gün,Kesinlikle destekliyorum,77.5
Kadın,36-45,Kız,14-17,"Mobil Cihaz (Akıllı Telefon, Tablet)",Bu tür ayarların nasıl yapıldığını bilmiyorum.,"Basit Eğlence / Bulmaca (Candy Crush, Kelime Oyunları, Subway Surfers vb.)",3-5 saat,Hiç harcama yapmaz,Hiç harcamaz veya sadece izin verdiğimiz kadar harcar.,Söylenerek/itiraz ederek isteksizce kapatır.,Oynamadığı zamanlarda canı çabuk sıkılır veya gergin/huzursuz olur,Neredeyse her gün,Çevresine tahammülsüz veya gergin olur.,PEGI nedir bilmiyorum,Kesinlikle destekliyorum,Bazen (Haftada 1-2 kez),Kesinlikle destekliyorum,57.5
